,order,trainMAPE,trainMSE,trainMAE,testMAPE,testMSE,testMAE
48,"[1, 0, 10]",3464722757070.31,46973.83017338868,141.0926475307611,5.948212326841107e+17,72584.16281799269,173.53385161017397
49,"[1, 0, 16]",3464722757062.02,45648.68922720306,140.34285643214204,7.144902934970493e+17,72582.8566476929,173.56330968442316
50,"[1, 0, 24]",3464722757061.344,41787.367932867724,136.18919903850573,7.144228579183639e+17,72528.17305830079,173.49766072889648
51,"[2, 0, 0]",3464722757066.287,47729.771582353795,142.0118924393133,7.170272519867073e+17,72594.44371459565,173.5636298208763
52,"[2, 0, 1]",3464722757076.977,47688.12717535202,141.83286394599534,7.149573508570932e+17,72588.54731405046,173.5513383137892
53,"[2, 0, 2]",3464722757065.661,47665.984124681476,141.86128412151012,7.167236638271466e+17,72591.13506051374,173.55700711520987
54,"[2, 0, 3]",3464722757065.625,47222.521365549524,140.88050795937758,6.418985243537631e+17,72581.55583324216,173.52010095823016
55,"[2, 0, 4]",3464722757063.234,47143.01503336514,140.95674922374428,6.404628860994428e+17,72580.22659072513,173.5165934040504
56,"[2, 0, 6]",3464722757069.401,47026.70591380287,141.14298448281923,6.790322527801334e+17,72583.84992335465,173.53563482869023
57,"[2, 0, 8]",3464722757073.211,46569.98148536769,140.97897917854743,4.455751531935533e+17,72544.42535699185,173.54308501548937
58,"[2, 0, 10]",3464722757060.7153,45616.96133614153,140.99512815644405,5.0670046370292646e+17,72568.37215316422,173.57209651542527
59,"[2, 0, 16]",3464722757060.208,45639.98075877763,140.44609720304118,7.13674344559191e+17,72583.0760426141,173.56285351520052
60,"[2, 0, 24]",3464722757069.9966,41615.64377516967,136.11377056725564,7.126560657333005e+17,72527.44318525415,173.4816806351199
61,"[3, 0, 0]",3464722757064.17,47680.42428223223,141.84232217645308,7.156946625578582e+17,72589.63280127032,173.55368172842466
62,"[3, 0, 1]",3464722757079.3726,47679.18405016062,141.8459711959152,7.162108764623779e+17,72590.00142216012,173.55448336557393
63,"[3, 0, 2]",3464722757060.565,46617.637228491265,140.65906010218652,4.3323348842185005e+17,72602.4585383405,173.5712899074221
64,"[3, 0, 3]",3464722757066.7954,47260.50777101465,140.9739741919643,6.675745115075794e+17,72582.51472376112,173.52702798899188
65,"[3, 0, 4]",3464722757067.733,47747.20313736934,142.18250114117183,397.2371601867478,72595.08691986203,173.56601819840222
66,"[3, 0, 6]",3464722757082.5435,46916.39498586169,141.09681965072474,5.723242733169935e+17,72584.60730925923,173.52442448967957
67,"[3, 0, 8]",3464722757074.607,45782.02837543016,140.77574457067635,4.595611197361224e+17,72591.5058588584,173.59016552064216
68,"[3, 0, 10]",3464722757067.408,45479.29444065206,140.8646817079073,4.5520254321554534e+17,72571.39266654538,173.57723048653222
69,"[3, 0, 16]",3464722757065.159,45083.99412642643,140.17428816815615,5.649807382255613e+17,72600.34194542933,173.55473953364563
70,"[3, 0, 24]",3464722757065.4355,41582.402266613884,136.07989775515958,7.106270243110294e+17,72528.6719307671,173.4794615981613
71,"[4, 0, 0]",3464722757067.212,47677.6866798919,141.85896783881006,7.16492115867886e+17,72590.69989336113,173.55598317448698
72,"[4, 0, 1]",3464722757079.942,47680.28519209019,141.84339300270886,7.158683488503786e+17,72589.8320331173,173.55411145621974
73,"[4, 0, 2]",3464722757061.334,46548.21371980671,140.98446924619407,3.944998732258637e+17,72598.41389874635,173.56497505667753
74,"[4, 0, 3]",3464722757072.3774,46351.8959699214,139.95237140823195,5.2098049366834496e+17,72594.60583385557,173.54839727732784
75,"[4, 0, 4]",3464722757064.588,47191.91081058385,141.9301259485188,315.98466517763393,72604.79011924875,173.57106342850597
76,"[4, 0, 6]",3464722757062.504,46253.60455720179,140.20289990943783,3.469985909023995e+17,72590.6125477011,173.54792675723974
77,"[4, 0, 8]",3464722757066.336,45893.652686813715,141.3294599443701,3.273620901247265e+17,72574.39475088865,173.55334014246571
78,"[4, 0, 10]",3464722757062.0757,45671.34772213324,140.8654293718274,4.3653331953407654e+17,72581.66580092582,173.57900846106944
79,"[4, 0, 16]",3464722757060.151,44302.04590847173,139.00900814962523,4.5670105684757843e+17,72515.98729306627,173.47674385063996
80,"[4, 0, 24]",3464722757067.439,41582.65795039916,136.0840151173257,7.105671697525006e+17,72527.61614493308,173.4775671502262
81,"[6, 0, 0]",3464722757065.4707,47436.80816134688,141.7217410252534,7.11297758954756e+17,72584.99402147296,173.54832974520792
82,"[6, 0, 1]",3464722757083.527,47120.17685381373,141.16137557627104,6.942734876154367e+17,72585.20724243853,173.5395407136176
83,"[6, 0, 2]",3464722757066.714,47060.927240873294,141.15447113060281,6.842987388249908e+17,72584.6903179539,173.53666842004813
