Time,PSEforecast,Load,ARIMALOAD,ARIMATD,ARIMATG
2022-03-01 00:00:00+01:00,19250.0,19287.875,21219.161467980783,19501.22011009634,19266.180100981033
2022-03-01 01:00:00+01:00,18500.0,18699.813,21165.010459852896,18989.79578582538,18607.214266748
2022-03-01 02:00:00+01:00,18150.0,18468.038,21149.13774481448,18547.196930205326,18328.329722248152
2022-03-01 03:00:00+01:00,18300.0,18561.8,21172.411330797528,18689.472703983407,18525.72060549926
2022-03-01 04:00:00+01:00,18850.0,19003.163,21232.46409796402,19112.361776398873,18944.683565692718
2022-03-01 05:00:00+01:00,20300.0,19919.263,21324.90944384936,20237.068525856077,19977.64673296268
2022-03-01 06:00:00+01:00,22850.0,22075.913,21442.928663676776,22642.916729450044,22240.96733709866
2022-03-01 07:00:00+01:00,23600.0,23443.438,21578.376217837034,24000.699880092274,23746.87655481232
2022-03-01 08:00:00+01:00,24050.0,23618.613,21721.87872984924,23907.481210986956,24228.881252251922
2022-03-01 09:00:00+01:00,24000.0,23186.188,21863.839737140937,23601.35275194099,24000.940668855463
2022-03-01 10:00:00+01:00,23450.0,22649.45,21994.793348783496,23131.81714428543,23240.908993831086
2022-03-01 11:00:00+01:00,23550.0,22683.4,22106.25197135167,23714.81337702164,23650.503475415004
2022-03-01 12:00:00+01:00,23900.0,22659.675,22191.080967008555,23733.438178293058,23505.76806125654
2022-03-01 13:00:00+01:00,24250.0,22783.25,22244.087368956418,23625.32712936162,23297.540147116102
2022-03-01 14:00:00+01:00,24000.0,22848.1,22262.22889291391,23614.723653898884,22702.36350630639
2022-03-01 15:00:00+01:00,23950.0,23386.688,22244.86515236593,23750.115993622803,22788.663064744214
2022-03-01 16:00:00+01:00,24000.0,23961.913,22193.697842781017,24006.798216481624,22852.039873308877
2022-03-01 17:00:00+01:00,25150.0,24575.575,22112.671102305947,24728.171262780223,23592.16950843035
2022-03-01 18:00:00+01:00,25350.0,25160.463,22007.634548174163,25447.66702195974,23931.514794245668
2022-03-01 19:00:00+01:00,25350.0,25112.625,21885.955101246887,25281.23343557588,23765.21809806127
2022-03-01 20:00:00+01:00,24700.0,24556.525,21755.979314221942,24780.930628344777,23049.941068065007
2022-03-01 21:00:00+01:00,23350.0,23089.275,21626.481836082185,23119.05207309861,21548.292703332296
2022-03-01 22:00:00+01:00,21700.0,21617.875,21506.060719132474,21691.325796295507,19958.48552802016
2022-03-01 23:00:00+01:00,20450.0,20398.025,21402.58008349868,20311.933629667103,18637.228083453105
2022-03-02 00:00:00+01:00,19100.0,19449.488,24597.30374873988,19489.682890916534,17563.673725111814
2022-03-02 01:00:00+01:00,18350.0,18834.2,24402.83002555396,18989.291202073153,16960.286915782162
2022-03-02 02:00:00+01:00,18000.0,18576.55,24080.831764983144,18822.31408482196,16674.404636068622
2022-03-02 03:00:00+01:00,18100.0,18691.1,23653.72873839215,18900.247774292817,16758.867131102077
2022-03-02 04:00:00+01:00,18650.0,19124.9,23152.51503029093,19295.11865199712,17109.19487722101
2022-03-02 05:00:00+01:00,20100.0,20034.938,22611.036285437225,19995.51314841364,17863.435798007602
2022-03-02 06:00:00+01:00,22650.0,22162.925,22066.501940042777,22082.437254102246,20140.96769639858
2022-03-02 07:00:00+01:00,23800.0,23696.275,21554.798542364377,23468.43036473795,21874.11926223033
2022-03-02 08:00:00+01:00,24300.0,24069.788,21109.80659254393,23751.004999751836,22781.248638597015
2022-03-02 09:00:00+01:00,24350.0,23599.388,20759.857011406857,23335.056412741236,23177.582701006042
2022-03-02 10:00:00+01:00,24100.0,22796.2,20526.952511362004,22213.574417836317,22674.12013081841
2022-03-02 11:00:00+01:00,24250.0,22825.4,20424.60340630972,23856.813377021637,22930.68728657909
2022-03-02 12:00:00+01:00,24400.0,22845.675,20457.68327457124,23919.438178293054,22807.7659404381
2022-03-02 13:00:00+01:00,24650.0,23053.025,20621.75729811459,23895.10212936162,22903.948780685245
2022-03-02 14:00:00+01:00,24150.0,23149.463,20903.90196091368,23916.086653898885,22600.39521023718
2022-03-02 15:00:00+01:00,24100.0,23477.013,21283.406272599383,23840.440993622804,22676.163077000198
2022-03-02 16:00:00+01:00,24200.0,23995.788,21733.50280128399,24040.673216481624,22919.98631357805
2022-03-02 17:00:00+01:00,25100.0,24441.113,22223.06770480665,24593.709262780223,23463.330142121376
2022-03-02 18:00:00+01:00,25250.0,25205.013,22718.901037331303,25492.21702195974,23853.15359843705
2022-03-02 19:00:00+01:00,25200.0,25349.263,23187.862387228328,25517.871435575875,23838.9755441377
2022-03-02 20:00:00+01:00,24750.0,24768.325,23599.16119368058,24992.730628344772,23232.587903391875
2022-03-02 21:00:00+01:00,23450.0,23249.35,23926.3045650621,23279.12707309861,21656.89786505427
2022-03-02 22:00:00+01:00,21700.0,21621.213,24148.844848314184,21694.663796295506,20189.77833701196
2022-03-02 23:00:00+01:00,20350.0,20471.6,24253.60608132642,20385.5086296671,18934.41561201422
2022-03-03 00:00:00+01:00,19150.0,19454.7,25315.11840206625,19519.273152861755,17805.35081813995
2022-03-03 01:00:00+01:00,18400.0,18878.575,25395.295713702628,18859.44839868176,17130.058307430387
2022-03-03 02:00:00+01:00,18050.0,18619.463,25294.21557374156,18638.38891315822,16896.71732772864
2022-03-03 03:00:00+01:00,18100.0,18734.663,25020.63842508616,18715.617074295857,16945.86147943764
2022-03-03 04:00:00+01:00,18650.0,19021.975,24596.17247761436,19252.94788491388,17358.36142829321
2022-03-03 05:00:00+01:00,20100.0,19864.188,24050.926693971312,20251.227543387467,18173.3905881465
2022-03-03 06:00:00+01:00,22650.0,22137.763,23423.51855910001,22379.37295638781,20464.91608260793
2022-03-03 07:00:00+01:00,23700.0,23809.9,22756.708364926315,23442.54044244105,21726.47894001815
2022-03-03 08:00:00+01:00,24300.0,24288.0,22095.77689432627,22876.99806012168,21653.1169796444
2022-03-03 09:00:00+01:00,24450.0,24180.988,21484.458156625213,21684.330668698018,21302.031571697105
2022-03-03 10:00:00+01:00,24100.0,23698.45,20962.83494897033,20864.429327809707,20795.7816320222
2022-03-03 11:00:00+01:00,24200.0,23783.963,20564.114605928306,24815.376377021636,21083.506253321935
2022-03-03 12:00:00+01:00,24400.0,23880.575,20313.003045082016,24954.338178293056,21222.87884863028
2022-03-03 13:00:00+01:00,24650.0,24223.75,20223.82244111516,25065.82712936162,21519.871294883917
2022-03-03 14:00:00+01:00,24150.0,24174.825,20300.010921297533,24941.448653898882,21771.179895483314
2022-03-03 15:00:00+01:00,24100.0,24338.55,20533.840004560458,24701.977993622804,22293.890085484494
2022-03-03 16:00:00+01:00,24200.0,24459.2,20907.281269431514,24504.085216481624,22425.594835650238
2022-03-03 17:00:00+01:00,25100.0,24804.5,21393.232788323025,24957.096262780226,22958.299390714248
2022-03-03 18:00:00+01:00,25200.0,25323.9,21957.573989277167,25611.104021959745,23163.52533756442
2022-03-03 19:00:00+01:00,25200.0,25305.15,22561.465847066152,25473.75843557588,23154.32850289014
2022-03-03 20:00:00+01:00,24700.0,24736.675,23164.07679874911,24961.080628344775,22600.149226016776
2022-03-03 21:00:00+01:00,23350.0,23241.3,23725.28319241391,23271.07707309861,21101.04209440392
2022-03-03 22:00:00+01:00,21700.0,21663.35,24208.369648759963,21736.800796295505,19654.17090850508
2022-03-03 23:00:00+01:00,20450.0,20415.013,24582.38991067293,20328.9216296671,18496.13096819279
2022-03-04 00:00:00+01:00,19300.0,19369.75,24885.05416670569,18564.073451717966,17365.760817776536
2022-03-04 01:00:00+01:00,18550.0,18821.438,25031.240385025754,18077.59254653071,16813.787789093472
2022-03-04 02:00:00+01:00,18200.0,18551.588,24995.426717306706,17770.558761893848,16540.257054712463
2022-03-04 03:00:00+01:00,18400.0,18579.175,24782.34811172952,17880.603309334118,16558.326243840038
2022-03-04 04:00:00+01:00,18950.0,18912.6,24409.444321404422,18206.699186970352,17000.667376187186
2022-03-04 05:00:00+01:00,20350.0,19745.263,23903.70924278222,19083.824019263506,17865.38384316485
2022-03-04 06:00:00+01:00,22700.0,21888.663,23301.17815605014,21207.908189373436,19996.949201205924
2022-03-04 07:00:00+01:00,23750.0,23938.563,22643.28355536877,23375.491771164023,21713.914240093683
2022-03-04 08:00:00+01:00,24300.0,24946.6,21974.871199610392,24665.81451359813,22431.9751320381
2022-03-04 09:00:00+01:00,24250.0,25215.013,21340.484669561192,25073.45043427941,22597.536487483074
2022-03-04 10:00:00+01:00,24150.0,25154.95,20781.92654821616,25004.77574339847,22482.86794459505
2022-03-04 11:00:00+01:00,24400.0,25514.5,20335.109211906085,26545.913377021636,22473.286193356667
2022-03-04 12:00:00+01:00,24400.0,25535.988,20028.075698065302,26609.751178293052,22343.89048101013
2022-03-04 13:00:00+01:00,24550.0,25507.963,19879.008960314,26350.040129361623,22365.026768016098
2022-03-04 14:00:00+01:00,24200.0,25238.2,19895.371160899114,26004.823653898882,22441.6819162084
2022-03-04 15:00:00+01:00,24150.0,24885.213,20073.42555740344,25248.6409936228,22415.184779495394
2022-03-04 16:00:00+01:00,24200.0,24392.988,20398.78028441756,24437.87321648163,22579.096773472815
2022-03-04 17:00:00+01:00,25000.0,24713.313,20847.423410910327,24865.909262780227,23223.350281477753
2022-03-04 18:00:00+01:00,25200.0,25322.075,21387.545526237813,25609.27902195974,23611.98277533328
2022-03-04 19:00:00+01:00,25150.0,25112.5,21981.725295102573,25281.108435575876,23373.1761348678
2022-03-04 20:00:00+01:00,24650.0,24374.688,22589.553399396613,24599.093628344774,22639.924348750003
2022-03-04 21:00:00+01:00,23250.0,22924.75,23170.336472184204,22954.527073098612,21114.592152655656
2022-03-04 22:00:00+01:00,21600.0,21441.85,23685.83751828672,21515.30079629551,19749.25317612054
2022-03-04 23:00:00+01:00,20350.0,20251.563,24102.76234077657,20165.471629667103,18546.96487943584
2022-03-05 00:00:00+01:00,19200.0,19376.363,25142.22823694776,19577.61011945257,17643.37134374492
2022-03-05 01:00:00+01:00,18400.0,18682.588,25139.091664039708,18923.24892120768,16981.714837518193
2022-03-05 02:00:00+01:00,17900.0,18306.213,24959.98662015805,18694.503016601717,16750.63185759131
2022-03-05 03:00:00+01:00,17800.0,18226.875,24619.040036066795,18689.052620096805,16714.62859516014
2022-03-05 04:00:00+01:00,17850.0,18301.413,24142.00660521425,18647.388499189914,16757.293625117843
2022-03-05 05:00:00+01:00,18050.0,18474.413,23562.40012123157,18774.348431923183,16914.540511502262
2022-03-05 06:00:00+01:00,19050.0,18809.825,22920.72273828253,19462.730331971597,17593.080831711697
2022-03-05 07:00:00+01:00,20450.0,19938.325,22260.44450363231,20677.640269902007,18455.71477016416
2022-03-05 08:00:00+01:00,21600.0,21030.113,21626.0104731336,21988.13448620826,19455.07082790608
2022-03-05 09:00:00+01:00,21950.0,21797.5,21059.120794163417,22799.264558851115,20164.416353020173
2022-03-05 10:00:00+01:00,22400.0,22185.888,20596.572932311723,23309.602331874237,20623.703997817942
2022-03-05 11:00:00+01:00,22500.0,22862.288,20267.436949139486,23893.701377021636,20927.152944997913
2022-03-05 12:00:00+01:00,22350.0,22587.55,20091.59331458821,23661.313178293047,20901.219771405857
2022-03-05 13:00:00+01:00,22150.0,22124.263,20078.28015886157,22966.340129361623,20781.001227607714
2022-03-05 14:00:00+01:00,21550.0,21893.363,20225.86012262176,22659.98665389888,20372.96143945413
2022-03-05 15:00:00+01:00,21150.0,21871.463,20521.93433724748,22234.890993622797,20003.021859526507
2022-03-05 16:00:00+01:00,21050.0,21546.175,20944.46798248096,21591.060216481626,19871.103478954796
2022-03-05 17:00:00+01:00,22000.0,21790.888,21463.30824603212,21943.484262780228,20429.05277815163
2022-03-05 18:00:00+01:00,22300.0,22433.588,22042.399468096104,22720.792021959736,20844.82501716959
2022-03-05 19:00:00+01:00,22100.0,22217.213,22642.215643036307,22385.82143557588,20529.724499959466
2022-03-05 20:00:00+01:00,21550.0,21632.7,23222.49544380243,21857.105628344776,19947.476214784172
2022-03-05 21:00:00+01:00,20500.0,20598.225,23744.897430243807,20628.00207309861,18835.882377493435
2022-03-05 22:00:00+01:00,19500.0,19481.338,24175.552283217683,19554.788796295514,17767.793333831527
2022-03-05 23:00:00+01:00,18400.0,18333.413,24487.224872385952,18247.3216296671,16760.38814624377
2022-03-06 00:00:00+01:00,17000.0,17421.275,22131.834977839208,17614.485582732847,15705.056254187875
2022-03-06 01:00:00+01:00,16200.0,16871.138,22344.43832819121,16994.92495503577,15107.539382644298
2022-03-06 02:00:00+01:00,15750.0,16342.013,22381.88590421865,16611.436829643295,14884.25343145431
2022-03-06 03:00:00+01:00,15500.0,16239.288,22243.76696764309,16408.94631258023,14721.495200184392
2022-03-06 04:00:00+01:00,15600.0,16331.225,21942.650154942083,16459.481683501206,14716.65167997792
2022-03-06 05:00:00+01:00,15650.0,16311.988,21500.70626129533,16710.558390727998,14950.916806270618
2022-03-06 06:00:00+01:00,15950.0,16355.075,20949.933082766795,16500.710675813407,15105.428135281878
2022-03-06 07:00:00+01:00,16900.0,16908.05,20328.444890508952,17120.59607891019,15461.297317407081
2022-03-06 08:00:00+01:00,18000.0,17772.413,19678.95512094688,17685.8469786903,15917.739912586885
2022-03-06 09:00:00+01:00,18450.0,18757.65,19044.98692221556,18341.97808334595,16521.68428876987
2022-03-06 10:00:00+01:00,18900.0,19327.625,18468.639521557805,18557.579099288276,16833.6428696324
2022-03-06 11:00:00+01:00,19200.0,19817.3,17987.27717422744,20848.71337702163,17096.825935970603
2022-03-06 12:00:00+01:00,19400.0,20258.013,17631.52886507759,21331.776178293047,17441.956341549365
2022-03-06 13:00:00+01:00,19500.0,20271.188,17423.03358854109,21113.26512936162,17889.7330222781
2022-03-06 14:00:00+01:00,19200.0,20236.863,17373.392960041954,21003.48665389888,17371.799109439573
2022-03-06 15:00:00+01:00,18700.0,19793.963,17483.361807475147,20157.390993622797,17333.000247813456
2022-03-06 16:00:00+01:00,18700.0,19488.913,17743.12218753852,19533.79821648163,17622.210642223225
2022-03-06 17:00:00+01:00,19950.0,19908.313,18132.98530543866,20060.90926278023,18418.071412597237
2022-03-06 18:00:00+01:00,20600.0,20911.988,18624.95147675136,21199.192021959738,19456.964014224566
2022-03-06 19:00:00+01:00,20550.0,21010.813,19184.633578512683,21179.421435575874,19647.86226739581
2022-03-06 20:00:00+01:00,20350.0,20559.925,19773.704243255022,20784.330628344775,19172.911834112638
2022-03-06 21:00:00+01:00,19450.0,19650.95,20352.46623644672,19680.727073098613,18406.970006960542
2022-03-06 22:00:00+01:00,18600.0,18956.488,20882.55173852385,19029.938796295515,17689.81337239794
2022-03-06 23:00:00+01:00,17800.0,17932.925,21329.4293092868,17846.833629667104,16698.266903835665
2022-03-07 00:00:00+01:00,17150.0,17142.0,20091.95357496446,17359.224276544825,15857.278048785018
2022-03-07 01:00:00+01:00,16700.0,16735.9,20489.543429335656,17160.89255663649,15619.812256882813
2022-03-07 02:00:00+01:00,16500.0,16572.413,20736.40799337601,16741.051008018498,15491.360104603213
2022-03-07 03:00:00+01:00,16600.0,16742.075,20815.81010453889,16904.92799199835,15546.519126966694
2022-03-07 04:00:00+01:00,17500.0,17266.663,20727.27746145066,17473.10356025232,15991.903996883646
2022-03-07 05:00:00+01:00,19750.0,18427.45,20477.698189769857,18608.421835592966,17387.402404936984
2022-03-07 06:00:00+01:00,22550.0,21049.5,20087.53328783248,21362.61112286141,20236.806979169567
2022-03-07 07:00:00+01:00,24100.0,23272.75,19583.96783616299,23273.509227839626,21903.749984988382
2022-03-07 08:00:00+01:00,24700.0,24072.15,19003.11580842709,24079.831798286443,22279.59306878646
2022-03-07 09:00:00+01:00,24750.0,24354.275,18384.26238180936,24362.906188414097,22189.32632746909
2022-03-07 10:00:00+01:00,24800.0,23719.913,17769.70019517439,24082.132993699903,21635.33808348158
2022-03-07 11:00:00+01:00,25150.0,23694.15,17199.911924715663,24725.56337702163,22218.134335633193
2022-03-07 12:00:00+01:00,25150.0,23966.513,16712.425135182744,25040.276178293043,22325.36077558005
2022-03-07 13:00:00+01:00,25350.0,24124.138,16338.172865421917,24966.215129361623,22454.495802591206
2022-03-07 14:00:00+01:00,24900.0,23973.838,16100.463871155156,24740.461653898878,22458.637466000877
2022-03-07 15:00:00+01:00,24550.0,24109.275,16012.829353156429,24472.702993622803,22428.24678983713
2022-03-07 16:00:00+01:00,24400.0,24227.063,16078.839422916895,24271.94821648163,22688.31451755274
2022-03-07 17:00:00+01:00,25200.0,24428.488,16291.584037607936,24581.08426278023,23280.387803296577
2022-03-07 18:00:00+01:00,25450.0,25109.763,16634.641110647564,25396.967021959736,24024.611269786365
2022-03-07 19:00:00+01:00,25400.0,25200.75,17083.053669424935,25369.358435575872,23875.82481720039
2022-03-07 20:00:00+01:00,24900.0,24594.075,17605.334838823957,24818.480628344772,23419.158615190077
2022-03-07 21:00:00+01:00,23650.0,23081.863,18165.505630112955,23111.64007309861,21909.154391229476
2022-03-07 22:00:00+01:00,21850.0,21635.038,18725.68840287094,21708.488796295514,20527.752704855087
2022-03-07 23:00:00+01:00,20600.0,20265.163,19248.56057635081,20179.071629667105,19250.21385060542
2022-03-08 00:00:00+01:00,19500.0,19459.725,24191.67069670491,19541.5981632214,18193.473085919137
2022-03-08 01:00:00+01:00,18850.0,18944.663,24131.2435627271,18823.862572300743,17640.547180076108
2022-03-08 02:00:00+01:00,18600.0,18648.075,23928.07379073728,18633.64982967105,17432.791838851386
2022-03-08 03:00:00+01:00,18700.0,18707.538,23596.12338147124,18822.26679732154,17491.45753203365
2022-03-08 04:00:00+01:00,19250.0,19162.275,23161.06871838151,19285.62893191917,17910.385436931487
2022-03-08 05:00:00+01:00,20650.0,19843.575,22652.314779885324,20001.576019696728,18861.494921309124
